30,54,29
54,27,28
29,54,28
27,54,26
33,55,32
36,50,35
22,23,53
50,34,35
34,50,55
31,32,55
36,37,50
49,24,25
49,23,24
48,1,52
34,55,33
23,49,53
53,21,22
61,63,56
56,39,40
49,25,26
39,56,38
20,53,62
57,17,62
38,56,50
55,56,63
18,19,62
17,57,16
55,30,31
14,57,51
53,20,21
49,54,63
57,15,16
11,51,59
38,50,37
40,41,56
42,56,41
44,45,61
44,61,43
45,46,61
46,47,52
55,63,54
49,63,53
47,48,52
60,2,3
61,56,42
58,61,52
52,1,2
20,62,19
46,52,61
63,58,51
3,4,60
11,59,10
9,10,59
62,17,18
63,61,58
13,14,51
12,13,51
55,54,30
55,50,56
61,42,43
57,14,15
6,58,60
6,7,58
5,60,4
59,58,7
59,7,8
59,8,9
2,60,52
63,51,57
51,58,59
51,11,12
60,5,6
62,53,63
58,52,60
26,54,49
62,63,57
